First_RDM_name,Second_RDM_name,sub01,sub02,sub05,sub06,sub08,sub10,sub11,sub13,sub14,sub15,sub16,sub17,sub19,sub20,sub21,sub22,sub23,sub24,sub25,sub26,sub27,sub28,sub30
HIPP_MERGE_BL,sseq scon no sub,0.072785,0.033775,0.081122,0.069006,0.095839,0.11714,0.060736,0.030907,0.011081,0.025058,0.065903,0.11935,0.012578,0.035186,0.04358,-0.0015788,0.051411,0.074561,0.040493,0.13729,0.062174,0.096081,0.018671
HIPP_MERGE_BL,sseq dcon no sub,0.070739,0.032848,0.097166,0.036284,0.068863,0.11577,0.087843,0.017873,-0.021139,0.0027493,0.017697,0.10481,0.015024,0.030129,0.033521,0.0049656,0.064928,0.035739,0.019082,0.097214,0.061007,0.094043,0.049964
HIPP_MERGE_BL,dseq scon no sub,0.057966,0.043634,0.076127,0.058007,0.070115,0.10935,0.079585,0.012285,0.00045617,0.013102,0.031888,0.093269,0.026971,0.049664,0.02697,0.0059725,0.046381,0.062729,0.0094437,0.078209,0.060772,0.1011,0.01997
HIPP_MERGE_BL,dseq dcon no sub,0.060118,0.051856,0.075851,0.048557,0.076449,0.11277,0.08251,0.026309,0.0018791,0.014098,0.036654,0.09375,0.03235,0.024078,0.030249,0.014434,0.042646,0.053732,0.023938,0.092983,0.054932,0.091035,0.0058875
HIPP_MERGE_BL,dstart send same context no sub,0.059597,0.060871,0.06171,0.082213,0.086422,0.13352,0.073596,0.030774,-0.01173,0.012308,0.028945,0.1179,0.023891,0.042395,0.01869,-0.00079641,0.041183,0.071238,0.043695,0.085052,0.074684,0.10227,0.0067
HIPP_MERGE_BL,dstart send diff context no sub,0.052708,0.033368,0.096512,0.058054,0.073002,0.11088,0.07156,0.020568,-0.001036,0.0034067,0.022995,0.080691,0.038243,0.019158,0.026898,0.019374,0.032704,0.044047,0.019391,0.07092,0.056274,0.079693,0.0073418
HIPP_MERGE_BL,sstart dend same context no sub,0.061992,0.034497,0.076307,0.049707,0.051546,0.10404,0.087489,0.0045177,-0.0035679,0.011617,0.032486,0.093724,0.025686,0.058513,0.039576,0.012561,0.043287,0.061187,-0.019524,0.073769,0.046579,0.098251,0.01885
HIPP_MERGE_BL,sstart dend diff context no sub,0.061242,0.046085,0.077326,0.056224,0.079694,0.11291,0.083842,0.030598,-0.0027498,0.039458,0.050107,0.097126,0.037961,0.016626,0.020521,0.0096607,0.059094,0.051627,0.036047,0.12025,0.052984,0.092968,-0.010295
HIPP_MERGE_BL,dstart dend same context no sub,0.056351,0.04138,0.080123,0.053468,0.070816,0.10424,0.079035,0.0091852,0.0051541,0.013757,0.032569,0.085873,0.028183,0.049197,0.025641,0.0060319,0.048724,0.06071,0.0082547,0.077498,0.060896,0.10161,0.024094
HIPP_MERGE_BL,dstart dend diff context no sub,0.061963,0.058712,0.069639,0.043564,0.076483,0.1133,0.085343,0.026708,0.0040562,0.010393,0.036752,0.096541,0.028941,0.027603,0.033965,0.014353,0.040908,0.057156,0.021652,0.091663,0.055089,0.093645,0.010092
HIPP_MERGE_BL,same mov scon no sub,0.072785,0.033775,0.081122,0.069006,0.095839,0.11714,0.060736,0.030907,0.011081,0.025058,0.065903,0.11935,0.012578,0.035186,0.04358,-0.0015788,0.051411,0.074561,0.040493,0.13729,0.062174,0.096081,0.018671
HIPP_MERGE_BL,same mov dcon no sub,0.065233,0.079968,0.035467,0.057923,0.072242,0.11729,0.10003,0.037177,-0.021893,0.012221,0.06272,0.10881,0.048761,0.017675,0.02592,0.012483,0.047476,0.048988,-0.017143,0.10306,0.050146,0.092401,-0.016516
HIPP_MERGE_BL,share mov scon no sub,0.049708,0.053628,0.11828,-0.0028188,0.094682,0.10125,0.094103,0.027163,0.044197,0.01283,-0.0027645,0.1065,0.018573,0.090184,0.022788,-0.0063533,0.04063,0.081328,-0.011783,0.0959,0.056033,0.10101,-0.025317
HIPP_MERGE_BL,share mov dcon no sub,0.071938,0.012624,0.063416,0.0187,0.066311,0.12132,0.087826,0.020166,-0.022208,0.0059704,0.037771,0.10248,0.018821,0.01397,0.052877,0.011956,0.063574,0.06711,0.072106,0.11379,0.08111,0.079187,0.057082
HIPP_MERGE_BL,no share mov scon no sub,0.058496,0.043016,0.073422,0.062038,0.068479,0.10987,0.07869,0.011338,-0.0023539,0.01312,0.034114,0.092488,0.027537,0.04706,0.027242,0.0067429,0.046759,0.061592,0.010795,0.077074,0.061089,0.10111,0.022968
HIPP_MERGE_BL,no share mov dcon no sub,0.059687,0.049807,0.082329,0.048343,0.076722,0.11211,0.081001,0.024866,0.0035436,0.01374,0.032172,0.0928,0.029986,0.025913,0.029497,0.013852,0.042972,0.05163,0.024078,0.091209,0.054281,0.091986,0.0089237
V12_BL,sseq scon no sub,0.56701,0.34167,0.41605,0.28881,0.50024,0.39488,0.65128,0.36585,0.13838,0.38982,0.32928,0.61418,0.37884,0.62789,0.27645,0.21246,0.38601,0.43952,0.26998,0.48249,0.496,0.50506,0.42516
V12_BL,sseq dcon no sub,0.57224,0.33816,0.40259,0.32809,0.46458,0.3962,0.61806,0.34186,0.12503,0.35995,0.32078,0.60408,0.3304,0.60227,0.22819,0.19083,0.44906,0.45951,0.29812,0.49617,0.49994,0.5516,0.47245
V12_BL,dseq scon no sub,0.51905,0.30718,0.35934,0.23993,0.47026,0.3501,0.60078,0.33307,0.1399,0.35506,0.29188,0.57299,0.34225,0.60738,0.21728,0.16538,0.39251,0.4287,0.26224,0.41333,0.47562,0.4719,0.43242
V12_BL,dseq dcon no sub,0.52656,0.31742,0.3621,0.24752,0.47052,0.35247,0.60234,0.34765,0.14095,0.35322,0.27623,0.57063,0.35022,0.60194,0.21621,0.1656,0.39016,0.43171,0.2564,0.409,0.45534,0.48039,0.43902
V12_BL,dstart send same context no sub,0.51384,0.31313,0.33403,0.26216,0.48865,0.34939,0.60587,0.33589,0.12739,0.34299,0.32425,0.58226,0.33251,0.60784,0.21099,0.16511,0.38589,0.44303,0.27684,0.45417,0.4975,0.4772,0.42896
V12_BL,dstart send diff context no sub,0.52368,0.32551,0.379,0.2625,0.47648,0.34024,0.59921,0.34654,0.13496,0.35009,0.30314,0.57737,0.36857,0.61538,0.2228,0.15424,0.40682,0.44347,0.24574,0.43656,0.45626,0.46897,0.44025
V12_BL,sstart dend same context no sub,0.54283,0.31573,0.36628,0.23329,0.47081,0.37583,0.60395,0.31892,0.1358,0.37963,0.29031,0.58796,0.35197,0.61329,0.20398,0.14328,0.39776,0.42654,0.26897,0.43085,0.47514,0.49024,0.44681
V12_BL,sstart dend diff context no sub,0.53131,0.32271,0.37187,0.25437,0.47298,0.39621,0.6057,0.37207,0.15353,0.37436,0.26314,0.5911,0.33201,0.60349,0.21104,0.17206,0.38972,0.43475,0.26366,0.43485,0.46167,0.51809,0.42267
