"","ROI","contrast","subject","PS"
"1","HIPP_MERGE_BL","sseq scon no sub","sub01",0.072785
"2","HIPP_MERGE_BL","sseq dcon no sub","sub01",0.070739
"3","HIPP_MERGE_BL","dseq scon no sub","sub01",0.057966
"4","HIPP_MERGE_BL","dseq dcon no sub","sub01",0.060118
"5","HIPP_MERGE_BL","dstart send same context no sub","sub01",0.059597
"6","HIPP_MERGE_BL","dstart send diff context no sub","sub01",0.052708
"7","HIPP_MERGE_BL","sstart dend same context no sub","sub01",0.061992
"8","HIPP_MERGE_BL","sstart dend diff context no sub","sub01",0.061242
"9","HIPP_MERGE_BL","dstart dend same context no sub","sub01",0.056351
"10","HIPP_MERGE_BL","dstart dend diff context no sub","sub01",0.061963
"11","HIPP_MERGE_BL","same mov scon no sub","sub01",0.072785
"12","HIPP_MERGE_BL","same mov dcon no sub","sub01",0.065233
"13","HIPP_MERGE_BL","share mov scon no sub","sub01",0.049708
"14","HIPP_MERGE_BL","share mov dcon no sub","sub01",0.071938
"15","HIPP_MERGE_BL","no share mov scon no sub","sub01",0.058496
"16","HIPP_MERGE_BL","no share mov dcon no sub","sub01",0.059687
"17","V12_BL","sseq scon no sub","sub01",0.56701
"18","V12_BL","sseq dcon no sub","sub01",0.57224
"19","V12_BL","dseq scon no sub","sub01",0.51905
"20","V12_BL","dseq dcon no sub","sub01",0.52656
"21","V12_BL","dstart send same context no sub","sub01",0.51384
"22","V12_BL","dstart send diff context no sub","sub01",0.52368
"23","V12_BL","sstart dend same context no sub","sub01",0.54283
"24","V12_BL","sstart dend diff context no sub","sub01",0.53131
"25","V12_BL","dstart dend same context no sub","sub01",0.51393
"26","V12_BL","dstart dend diff context no sub","sub01",0.52606
"27","V12_BL","same mov scon no sub","sub01",0.56701
"28","V12_BL","same mov dcon no sub","sub01",0.52351
"29","V12_BL","share mov scon no sub","sub01",0.47585
"30","V12_BL","share mov dcon no sub","sub01",0.51811
"31","V12_BL","no share mov scon no sub","sub01",0.52188
"32","V12_BL","no share mov dcon no sub","sub01",0.53088
"33","BA4ap","sseq scon no sub","sub01",0.17965
"34","BA4ap","sseq dcon no sub","sub01",0.12847
"35","BA4ap","dseq scon no sub","sub01",0.13524
"36","BA4ap","dseq dcon no sub","sub01",0.14725
"37","BA4ap","dstart send same context no sub","sub01",0.13389
"38","BA4ap","dstart send diff context no sub","sub01",0.14839
"39","BA4ap","sstart dend same context no sub","sub01",0.13723
"40","BA4ap","sstart dend diff context no sub","sub01",0.16418
"41","BA4ap","dstart dend same context no sub","sub01",0.13507
"42","BA4ap","dstart dend diff context no sub","sub01",0.14214
"43","BA4ap","same mov scon no sub","sub01",0.17965
"44","BA4ap","same mov dcon no sub","sub01",0.12901
"45","BA4ap","share mov scon no sub","sub01",0.10087
"46","BA4ap","share mov dcon no sub","sub01",0.18059
"47","BA4ap","no share mov scon no sub","sub01",0.13745
"48","BA4ap","no share mov dcon no sub","sub01",0.14578
"49","HIPP_MERGE_BL","sseq scon no sub","sub02",0.033775
"50","HIPP_MERGE_BL","sseq dcon no sub","sub02",0.032848
"51","HIPP_MERGE_BL","dseq scon no sub","sub02",0.043634
"52","HIPP_MERGE_BL","dseq dcon no sub","sub02",0.051856
